#########################################
# Sukka's Ruleset - Anti Bogus Domain
# Last Updated: 2025-05-18T12:40:57.578Z
# Size: 153
# License: AGPL 3.0
# Homepage: https://ruleset.skk.moe
# GitHub: https://github.com/SukkaW/Surge
#
# This file contains known addresses that are hijacking NXDOMAIN results returned by DNS servers, and botnet controller IPs.
#
# Data from:
#  - https://github.com/felixonmars/dnsmasq-china-list
#  - https://github.com/curbengh/botnet-filter
#########################################
DOMAIN,th1s_rule5et_1s_m4d3_by_5ukk4w_ruleset.skk.moe
IP-CIDR,10.72.25.0/24,no-resolve
IP-CIDR,23.202.231.167/32,no-resolve
IP-CIDR,23.217.138.108/32,no-resolve
IP-CIDR,39.107.15.115/32,no-resolve
IP-CIDR,42.123.125.237/32,no-resolve
IP-CIDR,47.89.59.182/32,no-resolve
IP-CIDR,60.19.29.21/32,no-resolve
IP-CIDR,60.19.29.22/31,no-resolve
IP-CIDR,60.19.29.24/30,no-resolve
IP-CIDR,60.191.124.236/32,no-resolve
IP-CIDR,60.191.124.252/32,no-resolve
IP-CIDR,61.131.208.210/31,no-resolve
IP-CIDR,61.139.8.101/32,no-resolve
IP-CIDR,61.139.8.102/31,no-resolve
IP-CIDR,61.139.8.104/32,no-resolve
IP-CIDR,61.160.200.223/32,no-resolve
IP-CIDR,61.160.200.242/32,no-resolve
IP-CIDR,61.160.200.252/32,no-resolve
IP-CIDR,61.174.50.214/32,no-resolve
IP-CIDR,61.183.1.186/32,no-resolve
IP-CIDR,61.191.206.4/32,no-resolve
IP-CIDR,101.226.10.8/32,no-resolve
IP-CIDR,101.227.97.240/32,no-resolve
IP-CIDR,101.227.200.11/32,no-resolve
IP-CIDR,101.227.200.28/32,no-resolve
IP-CIDR,103.49.209.27/32,no-resolve
IP-CIDR,104.239.213.7/32,no-resolve
IP-CIDR,106.75.231.48/32,no-resolve
IP-CIDR,111.11.208.2/32,no-resolve
IP-CIDR,111.175.220.163/32,no-resolve
IP-CIDR,111.175.220.164/32,no-resolve
IP-CIDR,111.175.221.58/32,no-resolve
IP-CIDR,112.132.230.179/32,no-resolve
IP-CIDR,113.12.83.4/31,no-resolve
IP-CIDR,114.112.163.232/32,no-resolve
IP-CIDR,114.112.163.254/32,no-resolve
IP-CIDR,114.247.28.96/32,no-resolve
IP-CIDR,115.182.16.79/32,no-resolve
IP-CIDR,118.144.88.126/32,no-resolve
IP-CIDR,118.144.88.215/32,no-resolve
IP-CIDR,119.4.249.166/32,no-resolve
IP-CIDR,120.76.189.132/32,no-resolve
IP-CIDR,120.192.83.163/32,no-resolve
IP-CIDR,120.209.138.64/32,no-resolve
IP-CIDR,123.56.152.96/32,no-resolve
IP-CIDR,123.125.81.12/32,no-resolve
IP-CIDR,123.129.254.11/32,no-resolve
IP-CIDR,123.129.254.12/30,no-resolve
IP-CIDR,123.129.254.16/30,no-resolve
IP-CIDR,124.14.21.147/32,no-resolve
IP-CIDR,124.14.21.151/32,no-resolve
IP-CIDR,124.192.153.42/32,no-resolve
IP-CIDR,124.232.132.94/32,no-resolve
IP-CIDR,124.232.160.178/32,no-resolve
IP-CIDR,125.76.239.244/31,no-resolve
IP-CIDR,125.211.213.130/31,no-resolve
IP-CIDR,125.211.213.132/31,no-resolve
IP-CIDR,125.211.213.134/32,no-resolve
IP-CIDR,162.243.103.246/32,no-resolve
IP-CIDR,169.254.169.254/32,no-resolve
IP-CIDR,175.6.223.15/32,no-resolve
IP-CIDR,180.153.103.224/32,no-resolve
IP-CIDR,180.166.52.24/32,no-resolve
IP-CIDR,180.168.41.175/32,no-resolve
IP-CIDR,183.59.53.237/32,no-resolve
IP-CIDR,183.207.232.253/32,no-resolve
IP-CIDR,183.221.242.172/32,no-resolve
IP-CIDR,183.221.250.11/32,no-resolve
